order_id,order_date,order_time
7999,2015-05-14,19:05:50
8000,2015-05-14,19:15:29
8001,2015-05-14,19:25:20
8002,2015-05-14,19:35:06
8003,2015-05-14,19:40:48
8004,2015-05-14,20:11:21
8005,2015-05-14,20:13:20
8006,2015-05-14,20:14:42
8007,2015-05-14,20:28:10
8008,2015-05-14,20:51:58
8009,2015-05-14,20:56:07
8010,2015-05-14,20:56:52
8011,2015-05-14,21:02:58
8012,2015-05-14,21:05:33
8013,2015-05-14,21:23:42
8014,2015-05-14,21:27:11
8015,2015-05-15,11:25:33
8016,2015-05-15,11:29:54
8017,2015-05-15,11:30:22
8018,2015-05-15,11:38:22
8019,2015-05-15,11:41:55
8020,2015-05-15,11:43:14
8021,2015-05-15,11:52:10
8022,2015-05-15,12:13:13
8023,2015-05-15,12:16:01
8024,2015-05-15,12:36:47
8025,2015-05-15,12:47:31
8026,2015-05-15,13:01:35
8027,2015-05-15,13:01:36
8028,2015-05-15,13:06:12
8029,2015-05-15,13:14:12
8030,2015-05-15,13:17:25
8031,2015-05-15,13:21:08
8032,2015-05-15,13:26:52
8033,2015-05-15,13:31:59
8034,2015-05-15,13:33:31
8035,2015-05-15,13:38:19
8036,2015-05-15,13:42:46
8037,2015-05-15,13:54:19
8038,2015-05-15,13:59:07
8039,2015-05-15,14:08:35
8040,2015-05-15,14:13:27
8041,2015-05-15,14:33:58
8042,2015-05-15,14:39:02
8043,2015-05-15,14:40:15
8044,2015-05-15,14:53:13
8045,2015-05-15,15:02:25
8046,2015-05-15,15:15:38
8047,2015-05-15,15:47:34
8048,2015-05-15,16:27:54
8049,2015-05-15,16:28:24
8050,2015-05-15,16:29:51
8051,2015-05-15,16:48:04
8052,2015-05-15,16:51:40
8053,2015-05-15,17:19:36
8054,2015-05-15,17:19:53
8055,2015-05-15,17:25:37
8056,2015-05-15,17:35:24
8057,2015-05-15,17:42:38
8058,2015-05-15,17:47:26
8059,2015-05-15,17:51:11
8060,2015-05-15,17:52:09
8061,2015-05-15,17:55:21
8062,2015-05-15,17:55:39
8063,2015-05-15,18:06:21
8064,2015-05-15,18:13:46
8065,2015-05-15,18:23:33
8066,2015-05-15,18:25:44
8067,2015-05-15,18:32:16
8068,2015-05-15,18:33:49
8069,2015-05-15,18:37:09
8070,2015-05-15,18:46:04
8071,2015-05-15,18:46:09
8072,2015-05-15,18:49:52
8073,2015-05-15,18:50:13
8074,2015-05-15,18:52:08
8075,2015-05-15,19:13:32
8076,2015-05-15,19:13:49
8077,2015-05-15,19:20:50
8078,2015-05-15,19:25:32
8079,2015-05-15,19:26:05
8080,2015-05-15,19:27:26
8081,2015-05-15,19:31:31
8082,2015-05-15,19:48:38
8083,2015-05-15,19:52:50
8084,2015-05-15,19:55:24
8085,2015-05-15,19:55:58
8086,2015-05-15,19:59:57
8087,2015-05-15,20:01:21
8088,2015-05-15,20:02:44
8089,2015-05-15,20:04:48
8090,2015-05-15,20:13:35
8091,2015-05-15,20:17:55
8092,2015-05-15,20:34:54
8093,2015-05-15,20:45:10
8094,2015-05-15,20:48:11
8095,2015-05-15,20:52:32
8096,2015-05-15,21:02:02
8097,2015-05-15,21:09:50
8098,2015-05-15,21:10:51
8099,2015-05-15,21:17:01
8100,2015-05-15,21:17:52
8101,2015-05-15,21:34:10
8102,2015-05-15,21:41:34
8103,2015-05-15,21:43:13
8104,2015-05-15,21:43:53
8105,2015-05-15,22:16:25
8106,2015-05-15,22:24:20
8107,2015-05-15,22:34:09
8108,2015-05-15,22:59:54
8109,2015-05-16,11:54:32
8110,2015-05-16,11:57:47
8111,2015-05-16,12:31:41
8112,2015-05-16,12:53:29
8113,2015-05-16,13:01:28
8114,2015-05-16,13:27:42
8115,2015-05-16,13:42:42
8116,2015-05-16,13:51:12
8117,2015-05-16,13:57:42
8118,2015-05-16,14:01:00
8119,2015-05-16,14:10:12
8120,2015-05-16,14:23:21
8121,2015-05-16,14:24:30
8122,2015-05-16,14:35:18
8123,2015-05-16,14:54:33
8124,2015-05-16,15:02:06
8125,2015-05-16,15:26:59
8126,2015-05-16,15:44:44
8127,2015-05-16,15:54:15
8128,2015-05-16,16:01:30
8129,2015-05-16,16:14:02
8130,2015-05-16,16:33:36
8131,2015-05-16,16:44:30
8132,2015-05-16,16:50:30
8133,2015-05-16,17:04:23
8134,2015-05-16,17:09:16
8135,2015-05-16,17:09:58
8136,2015-05-16,17:26:36
8137,2015-05-16,17:26:56
8138,2015-05-16,17:30:07
8139,2015-05-16,17:46:43
8140,2015-05-16,17:48:04
8141,2015-05-16,17:51:20
8142,2015-05-16,17:56:12
8143,2015-05-16,18:01:08
8144,2015-05-16,18:04:46
8145,2015-05-16,18:11:45
8146,2015-05-16,18:41:46
8147,2015-05-16,18:45:27
8148,2015-05-16,19:09:17
8149,2015-05-16,19:09:50
8150,2015-05-16,19:15:45
8151,2015-05-16,19:21:25
8152,2015-05-16,19:25:15
8153,2015-05-16,19:31:26
8154,2015-05-16,19:40:20
8155,2015-05-16,19:48:23
8156,2015-05-16,20:03:21
8157,2015-05-16,20:04:40
8158,2015-05-16,20:38:23
8159,2015-05-16,20:45:07
8160,2015-05-16,20:46:33
8161,2015-05-16,20:58:45
8162,2015-05-16,21:04:04
8163,2015-05-16,21:05:24
8164,2015-05-16,21:19:25
8165,2015-05-16,21:24:05
8166,2015-05-16,21:35:20
8167,2015-05-16,21:41:00
8168,2015-05-16,21:42:10
8169,2015-05-16,21:53:14
8170,2015-05-17,11:59:40
8171,2015-05-17,12:12:24
8172,2015-05-17,12:32:27
8173,2015-05-17,13:05:32
8174,2015-05-17,13:11:38
8175,2015-05-17,13:27:48
8176,2015-05-17,13:34:54
8177,2015-05-17,13:35:05
8178,2015-05-17,13:50:45
8179,2015-05-17,13:57:19
8180,2015-05-17,14:22:15
8181,2015-05-17,14:49:55
8182,2015-05-17,14:59:04
8183,2015-05-17,15:07:33
8184,2015-05-17,15:17:34
8185,2015-05-17,15:23:59
8186,2015-05-17,15:34:17
8187,2015-05-17,15:34:32
8188,2015-05-17,15:37:09
8189,2015-05-17,16:02:54
8190,2015-05-17,16:12:19
8191,2015-05-17,16:22:35
8192,2015-05-17,16:36:01
8193,2015-05-17,17:09:00
8194,2015-05-17,17:15:06
8195,2015-05-17,17:31:34
8196,2015-05-17,17:33:02
8197,2015-05-17,18:01:10
8198,2015-05-17,18:03:19
8199,2015-05-17,18:24:36
8200,2015-05-17,18:25:46
8201,2015-05-17,18:32:09
8202,2015-05-17,18:41:19
8203,2015-05-17,19:00:30
8204,2015-05-17,19:08:05
8205,2015-05-17,19:13:44
